fact_id	fact
155	2thumbsup
156	2tw
157	2xorange
158	30000piraten
159	30c3
160	30jährigekrieg
161	30jidori
162	30milliardenungedecktewahlve
163	30milliardenungedecktewahlversprechen
164	30stundenwoche
165	31410piraten
166	31gemeindenundstädte
167	31mio
168	31tage
169	32tage
170	33tage
171	349gb
172	34tage
173	350ppm
174	35dpa
175	35jahre
176	360grad
177	37grad
178	37tage
179	380kv
180	3affen
181	3d
182	3ddrucker
183	3ds
184	3gates1tweet
185	3hfreiheit
186	3hops
187	3kampf
188	3köpfigeaffe
189	3nkpk
190	3notes
191	3oct
192	3oktober
193	3sat
194	3some_princ3sses
195	3t
196	3tage
197	3tagehach
198	3tagewach
199	3tw
200	3twhe
201	3wochenwach
202	400cops
203	40jahristsher
204	40piraten
205	41tage
206	42ev
207	43tage
208	44tage
209	45tage
210	46tage
211	47tage
212	47tagebiszurwahl
213	48h
214	48hglas
215	48tage
216	4augenprinzip
217	4evr
218	4grossplakate
219	4gutejahre
220	4jah
221	4moreyears
222	4mpirat
223	4pira
224	4piraten
225	4prozent
226	4smxinsurgencianacional
227	4sq
228	4squ
229	4stundenkoerper
230	4stundenkörper
231	4tage
232	4thamendment
233	4xpiraten
234	5000likes
235	50daysleft
236	50gruende
237	50prozent
238	51tage
239	53tage
240	54tage
241	55tage
242	56tage
243	57tage
244	58piraten
245	5abcnabsolución
246	5achsenparty
247	5anarquistasbcn
248	5axnparty
249	5geburtstag
250	5gegenjauch
251	5kiloschein
252	5mails
253	5minutesofprintedfame
254	5oerjahre
255	5prozent
256	5saxnparty
257	5tage
258	5vor1
259	5vor12
260	5vor8
261	6000pirat
262	6000piraten
263	60min
264	61piraten
265	61tage
266	6310i
267	63tage
268	64tage
269	65plus
270	690kkostetdasland
271	6dollarshirt
272	6p
273	6pira
274	6piraten
275	6pro
276	6prozent
277	6tage
278	6thsense
279	72h
280	72hmz
281	72hoechler
282	72hpira
283	72hpiraten
284	72hspd
285	72hzumsieg
286	72in72
287	72piraten
288	72stundeninfostand
289	7mtalk
290	7t7g
291	7t7r1b
292	7tage
293	7tage7gruende
294	7tage7gründe
295	7tw
296	7x7
297	8bit
298	8fragezeichen
299	8tage
300	90ernichtunbeschadetüberstanden
301	930qv
302	9gag
303	9hbahn
304	9lpt
305	9monate
306	9sräg
307	9tage
308	a
309	a10
310	a11y
311	a14
312	a18
313	a20
314	a20nie
315	a24
316	a2stau
317	a3
318	a318
319	a4
320	a40
321	a400m
322	a44
323	a5
324	a52
325	a6
326	a643
327	a7
328	a7fromhell
329	a7nds
330	a8
331	a81
332	aaa
333	aaaargh
334	aaaarrgghhh
335	aachen
336	aachener
337	aachenernachrichten
338	aachenerzeitung
339	aachenistbunt
340	aadw
341	aafp
342	aale
343	aalen
344	aarrrgh
345	aarrrrrr
346	aawe
347	ab
348	ab6199
349	abahnung
350	abbasaga
351	abbloggen
352	abe
353	abenberg
354	abendblatt
355	abendgebet
356	abendrot
357	abendrunde
358	abendschau
359	abendsnicht
360	abendsonne
361	abenteuer
362	aber
363	aberbluemsagtedoch
364	aberdievdsistsuper
365	aberichbinmirsicherihrrocktdas
366	abernichterstseithelenefischerdassingt
367	abersowasvon
368	aberst
369	abersteffihattermine
370	aberwirhabennixbesseres
371	aberwirmachenjanix
